Fixed-rate 0.000% – 4.650% notes,2024 – 2062,Unnamed: 0,$,"101,322",Unnamed: 1,0.03% – 6.72%,Unnamed: 2,$.1,"111,824",Unnamed: 3,0.03% – 4.78%
,,,,,,,,,,,
Third quarter 2023 debt issuance:,,,,,,,,,,,
Fixed-rate 4.000% – 4.850% notes,2026 – 2053,,"5,250",,4.04% – 4.88%,,—,,,,
Total term debt principal,,,"106,572",,,,"111,824",,,,
,,,,,,,,,,,
"Unamortized premium/(discount) and issuance costs,net",,,(356),,,,(374),,,,
Hedge accounting fair value adjustments,,,"(1,113)",,,,"(1,363)",,,,
Total term debt,,,"105,103",,,,"110,087",,,,
Less: Current portion of term debt,,,"(9,822)",,,,"(11,128)",,,,
Total non-current portion of term debt,,,$,"95,281",,,,$,"98,959",,
